Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Number of Taps to Open to Water a Garden,100.0,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Course Schedule II,88.5,0.5263015586396242,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Product of Array Except Self,83.8,0.6738345050611465,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Rotting Oranges,81.1,0.5596874418968774,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,LRU Cache,78.0,0.4443104468827379,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Sudoku Solver,78.0,0.636724036210914,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
EASY,Logger Rate Limiter,70.1,0.7635642018282964,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Longest Substring Without Repeating Characters,70.1,0.3632672026351713,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,65.0,0.3642307856518855,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Most Profitable Path in a Tree,65.0,0.6807515945526633,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Tree, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Spiral Matrix,65.0,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Two Sum,65.0,0.5507381742864873,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Increasing Subsequence,65.0,0.5717087413452131,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
HARD,Trapping Rain Water,65.0,0.6428746605407334,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Unique Email Addresses,58.3,0.674802342830053,https://leetcode.com/problems/unique-email-addresses,"Array, Hash Table, String"
EASY,Valid Parentheses,58.3,0.41845173990002593,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,House Robber,58.3,0.5198829353181093,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Generate Parentheses,58.3,0.7652986107087103,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Top K Frequent Elements,58.3,0.6408024023259269,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Min Stack,58.3,0.5591510655741915,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Heaters,58.3,0.3940185763508764,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,132 Pattern,58.3,0.3385544114775322,https://leetcode.com/problems/132-pattern,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set"
MEDIUM,Insert Delete GetRandom O(1),58.3,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Best Time to Buy and Sell Stock,58.3,0.5476981071147623,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Group Anagrams,58.3,0.7033699745496969,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Basic Calculator IV,48.9,0.5476815398075241,https://leetcode.com/problems/basic-calculator-iv,"Hash Table, Math, String, Stack, Recursion"
