Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Integer to English Words,100.0,0.34259779168346993,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
HARD,Merge k Sorted Lists,84.3,0.5579533250082452,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Minimum Time Difference,75.1,0.6227909066544749,https://leetcode.com/problems/minimum-time-difference,"Array, Math, String, Sorting"
MEDIUM,LRU Cache,75.1,0.44431037243296573,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find Beautiful Indices in the Given Array I,75.1,0.37783546935754814,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
HARD,Find Beautiful Indices in the Given Array II,75.1,0.25904018070790025,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
MEDIUM,Number of Islands,68.5,0.615809585471493,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,68.5,0.36328779146985113,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
EASY,Range Sum Query - Immutable,68.5,0.6725935183056571,https://leetcode.com/problems/range-sum-query-immutable,"Array, Design, Prefix Sum"
EASY,Check If It Is a Straight Line,59.4,0.39636658865415625,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
HARD,Contains Duplicate III,59.4,0.23399128698863772,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
EASY,Contains Duplicate,59.4,0.6281695590104242,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Contains Duplicate II,59.4,0.4812789600425884,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Single Number,59.4,0.7533126891872519,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
HARD,Selling Pieces of Wood,59.4,0.5118886140588845,https://leetcode.com/problems/selling-pieces-of-wood,"Array, Dynamic Programming, Memoization"
MEDIUM,Maximum Size Subarray Sum Equals k,59.4,0.5021546135894998,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Merge Intervals,59.4,0.48806520483005267,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Trapping Rain Water II,59.4,0.5869647593785525,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
MEDIUM,All Ancestors of a Node in a Directed Acyclic Graph,59.4,0.6204451714771838,https://leetcode.com/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Shortest Word Distance III,59.4,0.5887880354907191,https://leetcode.com/problems/shortest-word-distance-iii,"Array, String"
MEDIUM,Construct Quad Tree,59.4,0.7667385211257088,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
EASY,Flood Fill,59.4,0.6582860014231204,https://leetcode.com/problems/flood-fill,"Array, Depth-First Search, Breadth-First Search, Matrix"
EASY,Best Time to Buy and Sell Stock,59.4,0.5476984114227935,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Find Players With Zero or One Losses,59.4,0.7277534955761601,https://leetcode.com/problems/find-players-with-zero-or-one-losses,"Array, Hash Table, Sorting, Counting"
