Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Path Sum III,100.0,0.46042627653153334,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
HARD,Largest Rectangle in Histogram,91.4,0.46599271829085676,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Car Pooling,91.4,0.5597689446208396,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
HARD,Trapping Rain Water,79.4,0.6428758381748545,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Next Permutation,79.4,0.4232421470433192,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Rabbits in Forest,79.4,0.5268293438446229,https://leetcode.com/problems/rabbits-in-forest,"Array, Hash Table, Math, Greedy"
MEDIUM,Count Sub Islands,79.4,0.7284825534216932,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Make Array Empty,79.4,0.2544782012385188,https://leetcode.com/problems/make-array-empty,"Array, Binary Search, Greedy, Binary Indexed Tree, Segment Tree, Sorting, Ordered Set"
MEDIUM,Longest Repeating Character Replacement,79.4,0.5641855923985423,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
EASY,Find the Distance Value Between Two Arrays,79.4,0.6979567146903664,https://leetcode.com/problems/find-the-distance-value-between-two-arrays,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Gas Station,79.4,0.45977935462161534,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,LRU Cache,79.4,0.44431365674071477,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Open the Lock,79.4,0.6057787019809565,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
MEDIUM,Word Search,79.4,0.4462651279080226,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Maximum Sum BST in Binary Tree,79.4,0.43285615298681585,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree,"Dynamic Programming, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Jump Game II,79.4,0.41138599980222046,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest Palindromic Substring,79.4,0.3529867749328082,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Koko Eating Bananas,79.4,0.4882452056509775,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
