Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Combination Sum,100.0,0.7393128847591091,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Palindrome Pairs,97.5,0.3602233547703319,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie"
HARD,Maximum Profit in Job Scheduling,91.4,0.543351798175992,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Flatten 2D Vector,87.7,0.49992264167624434,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
HARD,Shortest Path to Get All Keys,87.7,0.5365046616190124,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
HARD,Trapping Rain Water,80.5,0.6428750937570651,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Minimum Window Substring,80.5,0.44664959668017445,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Alien Dictionary,80.5,0.36424325014905035,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Cheapest Flights Within K Stops,80.5,0.40061210982959206,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
HARD,Sliding Puzzle,80.5,0.7298615027887447,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
HARD,Text Justification,74.0,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Smallest Common Region,74.0,0.6785071206416763,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Pour Water,69.9,0.47592635212888384,https://leetcode.com/problems/pour-water,"Array, Simulation"
HARD,Employee Free Time,64.8,0.7250129048185471,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,IP to CIDR,64.8,0.5565762087736151,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
MEDIUM,Simple Bank System,58.4,0.6338894946748921,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Design Tic-Tac-Toe,58.4,0.5843357470704268,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
EASY,Two Sum,58.4,0.5507379737260433,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Basic Calculator II,58.4,0.4525723115520189,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Word Search II,49.3,0.37015730670464075,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
EASY,Happy Number,49.3,0.5756141841654789,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Contains Duplicate,49.3,0.6281693854768188,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Contains Duplicate II,49.3,0.4812775643652191,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
HARD,Contains Duplicate III,49.3,0.23399128698863772,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
MEDIUM,Maximal Square,49.3,0.48227954234941156,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Robot Bounded In Circle,49.3,0.5615320286935435,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
MEDIUM,Minimum Number of Vertices to Reach All Nodes,49.3,0.8108704080643598,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes,Graph
MEDIUM,Design File System,49.3,0.6379296261673761,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
MEDIUM,Number of Ways to Build House of Cards,49.3,0.6184863523573201,https://leetcode.com/problems/number-of-ways-to-build-house-of-cards,"Math, Dynamic Programming"
