Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Burst Balloons,100.0,0.6062604022253189,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Number of Islands,89.3,0.6158099472284881,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,87.6,0.213166126175855,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
MEDIUM,Minimum Cost of a Path With Special Roads,87.6,0.40679555995622496,https://leetcode.com/problems/minimum-cost-of-a-path-with-special-roads,"Array, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Longest Increasing Subsequence,85.7,0.5717089801737076,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,LRU Cache,85.7,0.4443108943898094,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Vertical Order Traversal of a Binary Tree,83.6,0.5037501423988417,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
HARD,Minimize Deviation in Array,83.6,0.5395848579602156,https://leetcode.com/problems/minimize-deviation-in-array,"Array, Greedy, Heap (Priority Queue), Ordered Set"
HARD,Trapping Rain Water,83.6,0.642874712483632,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Maximum Height by Stacking Cuboids ,83.6,0.5947391362660944,https://leetcode.com/problems/maximum-height-by-stacking-cuboids,"Array, Dynamic Programming, Sorting"
MEDIUM,Number of Nodes in the Sub-Tree With the Same Label,81.3,0.5500519874228018,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Counting"
MEDIUM,Stone Game IX,81.3,0.2905019537120529,https://leetcode.com/problems/stone-game-ix,"Array, Math, Greedy, Counting, Game Theory"
EASY,Maximum Product of Two Elements in an Array,81.3,0.8310098384818039,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,"Array, Sorting, Heap (Priority Queue)"
EASY,Find the Width of Columns of a Grid,81.3,0.6875768757687577,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
HARD,Number of Paths with Max Score,81.3,0.40685640362225095,https://leetcode.com/problems/number-of-paths-with-max-score,"Array, Dynamic Programming, Matrix"
HARD,Design Graph With Shortest Path Calculator,81.3,0.7059424603174604,https://leetcode.com/problems/design-graph-with-shortest-path-calculator,"Graph, Design, Heap (Priority Queue), Shortest Path"
EASY,Two Sum IV - Input is a BST,81.3,0.6192590195375747,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,"Hash Table, Two Pointers, Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree"
EASY,Faulty Keyboard,81.3,0.837957659650749,https://leetcode.com/problems/faulty-keyboard,"String, Simulation"
HARD,Minimum Number of Operations to Make String Sorted,81.3,0.5024859489840034,https://leetcode.com/problems/minimum-number-of-operations-to-make-string-sorted,"Math, String, Combinatorics"
HARD,Count Prefix and Suffix Pairs II,81.3,0.2772372058599447,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
MEDIUM,Mark Elements on Array by Performing Queries,81.3,0.49145844276031114,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Largest 1-Bordered Square,81.3,0.5067271185815917,https://leetcode.com/problems/largest-1-bordered-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Is Graph Bipartite?,76.1,0.571947412679897,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
EASY,Best Time to Buy and Sell Stock,76.1,0.5476984091687201,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,72.9,0.5507384498081581,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Possible Bipartition,65.0,0.5118927958299606,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Rotting Oranges,65.0,0.5596869928226376,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
EASY,Palindrome Number,65.0,0.5865359466384029,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,3Sum,65.0,0.36423122447344186,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Subarray,59.7,0.5173374246445591,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Maximize Distance to Closest Person,59.7,0.48704353216264146,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Make Sum Divisible by P,53.0,0.39546124154942447,https://leetcode.com/problems/make-sum-divisible-by-p,"Array, Hash Table, Prefix Sum"
MEDIUM,Implement Trie (Prefix Tree),53.0,0.6744649570923993,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Add Two Numbers,53.0,0.454397975631889,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Merge Intervals,53.0,0.488065793151722,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Valid Parentheses,53.0,0.4184518675827462,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Reverse Integer,43.5,0.2986435413730296,https://leetcode.com/problems/reverse-integer,Math
EASY,Convert Sorted Array to Binary Search Tree,43.5,0.7354589534880092,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Container With Most Water,43.5,0.5717351872568527,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Word Search,43.5,0.4462623263300481,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Rotate Array,43.5,0.4246131134876303,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,String to Integer (atoi),43.5,0.18717114802584672,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,4Sum,43.5,0.37601611392613343,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
HARD,Word Ladder,43.5,0.4184672534018831,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Linked List Cycle II,43.5,0.5400141672598656,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
MEDIUM,Jump Game II,43.5,0.4113848395686171,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Best Meeting Point,43.5,0.611861892238182,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
HARD,Largest Rectangle in Histogram,43.5,0.4659945056524777,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,N-Queens,43.5,0.7166918171258974,https://leetcode.com/problems/n-queens,"Array, Backtracking"
HARD,Find Median from Data Stream,43.5,0.5297421459036044,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Longest Common Prefix,43.5,0.44887911962853866,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Binary Tree Maximum Path Sum,43.5,0.4090456614910705,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Kth Largest Element in an Array,43.5,0.6762039164543677,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Remove K Digits,43.5,0.3444056242426607,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
HARD,K-th Smallest in Lexicographical Order,43.5,0.42029733636175926,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Trie
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,43.5,0.6742167067586909,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Meeting Rooms II,43.5,0.5191547661608963,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Reverse Linked List,43.5,0.7865004806678648,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Linked List Cycle,43.5,0.5197227091749758,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Coin Change,43.5,0.45813205213292446,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Unique Binary Search Trees,43.5,0.6213700667010362,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
