Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Burst Balloons,100.0,0.6062604022253189,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Number of Islands,93.0,0.6158099472284881,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,LRU Cache,82.8,0.4443107701273084,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Trapping Rain Water,82.8,0.642874712483632,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Is Graph Bipartite?,73.5,0.571947412679897,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
EASY,Best Time to Buy and Sell Stock,73.5,0.5476984091687201,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,69.3,0.213166126175855,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
MEDIUM,Minimum Cost of a Path With Special Roads,69.3,0.40679555995622496,https://leetcode.com/problems/minimum-cost-of-a-path-with-special-roads,"Array, Graph, Heap (Priority Queue), Shortest Path"
EASY,Two Sum,69.3,0.5507384347165932,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,3Sum,64.2,0.36423122447344186,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Palindrome Number,64.2,0.5865359466384029,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Add Two Numbers,57.6,0.45439793048689225,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Merge Intervals,57.6,0.48806570966196816,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Make Sum Divisible by P,57.6,0.39546124154942447,https://leetcode.com/problems/make-sum-divisible-by-p,"Array, Hash Table, Prefix Sum"
EASY,Valid Parentheses,57.6,0.4184518675827462,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Maximum Height by Stacking Cuboids ,57.6,0.5947391362660944,https://leetcode.com/problems/maximum-height-by-stacking-cuboids,"Array, Dynamic Programming, Sorting"
MEDIUM,Implement Trie (Prefix Tree),57.6,0.6744649570923993,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
HARD,Vertical Order Traversal of a Binary Tree,57.6,0.5037501423988417,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Maximum Subarray,57.6,0.5173374246445591,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Minimize Deviation in Array,48.4,0.5395848579602156,https://leetcode.com/problems/minimize-deviation-in-array,"Array, Greedy, Heap (Priority Queue), Ordered Set"
EASY,Maximum Product of Two Elements in an Array,48.4,0.8310098384818039,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,"Array, Sorting, Heap (Priority Queue)"
EASY,Faulty Keyboard,48.4,0.837957659650749,https://leetcode.com/problems/faulty-keyboard,"String, Simulation"
MEDIUM,Number of Nodes in the Sub-Tree With the Same Label,48.4,0.5500519874228018,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Counting"
MEDIUM,Stone Game IX,48.4,0.2905019537120529,https://leetcode.com/problems/stone-game-ix,"Array, Math, Greedy, Counting, Game Theory"
HARD,Design Graph With Shortest Path Calculator,48.4,0.7059424603174604,https://leetcode.com/problems/design-graph-with-shortest-path-calculator,"Graph, Design, Heap (Priority Queue), Shortest Path"
EASY,Two Sum IV - Input is a BST,48.4,0.6192590195375747,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,"Hash Table, Two Pointers, Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree"
HARD,Number of Paths with Max Score,48.4,0.40685640362225095,https://leetcode.com/problems/number-of-paths-with-max-score,"Array, Dynamic Programming, Matrix"
EASY,Find the Width of Columns of a Grid,48.4,0.6875768757687577,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
HARD,Minimum Number of Operations to Make String Sorted,48.4,0.5024859489840034,https://leetcode.com/problems/minimum-number-of-operations-to-make-string-sorted,"Math, String, Combinatorics"
EASY,Longest Common Prefix,48.4,0.44887911962853866,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Largest 1-Bordered Square,48.4,0.5067271185815917,https://leetcode.com/problems/largest-1-bordered-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Sort Colors,48.4,0.6636210799315214,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Robot Collisions,48.4,0.5675209537353626,https://leetcode.com/problems/robot-collisions,"Array, Stack, Sorting, Simulation"
MEDIUM,Rotting Oranges,48.4,0.5596869928226376,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Unique Binary Search Trees,48.4,0.6213700667010362,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
EASY,Linked List Cycle,48.4,0.5197227091749758,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Insert Delete GetRandom O(1),48.4,0.5490687367275053,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,String to Integer (atoi),48.4,0.18717114802584672,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Rotate Image,48.4,0.7717071569622557,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Sqrt(x),48.4,0.4002710033328747,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Reverse Linked List,48.4,0.7865004806678648,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
