Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.4184517439824478,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Merge Sorted Array,91.7,0.5225686067784859,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Sort Colors,91.7,0.6636211656327589,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Maximize Area of Square Hole in Grid,91.7,0.37458717191030766,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,"Array, Sorting"
HARD,Trapping Rain Water,80.1,0.6428744872193881,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Climbing Stairs,80.1,0.5334307129383083,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Subsets II,80.1,0.5890598528025407,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
HARD,Maximum Profit in Job Scheduling,80.1,0.54335067943223,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Maximum Length of Pair Chain,80.1,0.6060935036854592,https://leetcode.com/problems/maximum-length-of-pair-chain,"Array, Dynamic Programming, Greedy, Sorting"
EASY,Majority Element,80.1,0.6549764016901826,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Merge Two Sorted Lists,80.1,0.6628954678764155,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Minimum Value to Get Positive Step by Step Sum,80.1,0.6485919329070562,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,"Array, Prefix Sum"
