Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Number of Potholes That Can Be Fixed,100.0,0.5332317653780232,https://leetcode.com/problems/maximum-number-of-potholes-that-can-be-fixed,"String, Greedy, Sorting"
MEDIUM,Largest Palindromic Number,95.3,0.36221807166512326,https://leetcode.com/problems/largest-palindromic-number,"Hash Table, String, Greedy, Counting"
MEDIUM,Integer to Roman,89.4,0.6785878010990732,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Number of Steps to Reduce a Number in Binary Representation to One,89.4,0.6143492670594051,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String, Bit Manipulation"
MEDIUM,Coin Change,81.6,0.4581342962105665,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Best Time to Buy and Sell Stock with Cooldown,81.6,0.5982922607504858,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
MEDIUM,Valid Sudoku,81.6,0.6165324397009114,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,First Missing Positive,76.4,0.406346269487847,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Number of Spaces Cleaning Robot Cleaned,76.4,0.6248964242462872,https://leetcode.com/problems/number-of-spaces-cleaning-robot-cleaned,"Array, Matrix, Simulation"
MEDIUM,Boundary of Binary Tree,69.6,0.4678705526949843,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Path with Maximum Gold,69.6,0.6807628012468527,https://leetcode.com/problems/path-with-maximum-gold,"Array, Backtracking, Matrix"
HARD,Count of Smaller Numbers After Self,60.2,0.42712887456962956,https://leetcode.com/problems/count-of-smaller-numbers-after-self,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
MEDIUM,Rotate Array,60.2,0.4246180740213054,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Decode String,60.2,0.6068629765729199,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Roman to Integer,60.2,0.6415434941468621,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Minimum Moves to Spread Stones Over Grid,60.2,0.4521905757338211,https://leetcode.com/problems/minimum-moves-to-spread-stones-over-grid,"Array, Dynamic Programming, Breadth-First Search, Matrix"
MEDIUM,Minimum Number of Food Buckets to Feed the Hamsters,60.2,0.4703215725611991,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
MEDIUM,Best Time to Buy and Sell Stock II,60.2,0.6885666130267579,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest Happy String,60.2,0.6547577692862678,https://leetcode.com/problems/longest-happy-string,"String, Greedy, Heap (Priority Queue)"
