Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,100.0,0.5669935398889205,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
HARD,Block Placement Queries,95.4,0.1609268707482993,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
MEDIUM,Maximize Amount After Two Days of Conversions,95.4,0.5925480212913677,https://leetcode.com/problems/maximize-amount-after-two-days-of-conversions,"Array, String, Depth-First Search, Breadth-First Search, Graph"
HARD,Bus Routes,92.8,0.4706137576435859,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Alien Dictionary,92.8,0.36424325014905035,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Number of Islands,89.8,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Spiral Matrix,89.8,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Text Justification,86.4,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
EASY,Squares of a Sorted Array,82.6,0.7309318058723187,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Word Search,82.6,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Find the Closest Palindrome,78.0,0.31602541296060993,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
HARD,Number of Islands II,78.0,0.39994535297927464,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find"
MEDIUM,Leftmost Column with at Least a One,72.4,0.5487115076194363,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
HARD,Design In-Memory File System,72.4,0.48029548568100344,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Design Memory Allocator,72.4,0.5348305788939156,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Construct Quad Tree,72.4,0.7667617582483234,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
MEDIUM,Kth Smallest Element in a BST,72.4,0.7471383820977894,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Evaluate Division,72.4,0.6274952877381696,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,Binary Tree Right Side View,65.2,0.656355993308443,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Design Hit Counter,65.2,0.6901445319548539,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Boundary of Binary Tree,65.2,0.46787119736548405,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Basic Calculator,65.2,0.44856090532806625,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,Longest Path With Different Adjacent Characters,65.2,0.5396901389720061,https://leetcode.com/problems/longest-path-with-different-adjacent-characters,"Array, String, Tree, Depth-First Search, Graph, Topological Sort"
MEDIUM,Rotate Image,65.2,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
