Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Bus Routes,100.0,0.4706137576435859,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,94.9,0.5669935398889205,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Number of Islands,87.2,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Alien Dictionary,87.2,0.36424325014905035,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Text Justification,82.1,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Kth Smallest Element in a BST,80.6,0.7471383820977894,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Block Placement Queries,80.6,0.1609268707482993,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
HARD,Find the Closest Palindrome,80.6,0.31602541296060993,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
EASY,Squares of a Sorted Array,78.9,0.7309318058723187,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Word Search,77.2,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Number of Islands II,77.2,0.39994535297927464,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find"
MEDIUM,Find Minimum Time to Reach Last Room I,73.2,0.35742574257425747,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-i,"Array, Graph, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Find Minimum Time to Reach Last Room II,73.2,0.49841890790546045,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-ii,"Array, Graph, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Maximize Amount After Two Days of Conversions,73.2,0.5925480212913677,https://leetcode.com/problems/maximize-amount-after-two-days-of-conversions,"Array, String, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Spiral Matrix,73.2,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,LRU Cache,70.9,0.4443099993738651,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Insert Delete GetRandom O(1),70.9,0.5490693218065985,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Design In-Memory File System,68.3,0.48029548568100344,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Construct Quad Tree,68.3,0.7667617582483234,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
MEDIUM,Evaluate Division,65.4,0.6274952877381696,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,Design Hit Counter,65.4,0.6901445319548539,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Shortest Bridge,62.0,0.5834013395567321,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Random Pick with Weight,62.0,0.4820817185952007,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Rotate Image,62.0,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Split Message Based on Limit,62.0,0.431437590284094,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
HARD,Basic Calculator,62.0,0.44856090532806625,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,Word Search II,62.0,0.37015748734698894,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,My Calendar I,62.0,0.5836125887892137,https://leetcode.com/problems/my-calendar-i,"Array, Binary Search, Design, Segment Tree, Ordered Set"
MEDIUM,Binary Tree Right Side View,58.0,0.656355993308443,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Subarray Sums Divisible by K,58.0,0.5552732795967054,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Design Memory Allocator,58.0,0.5348305788939156,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Leftmost Column with at Least a One,58.0,0.5487115076194363,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,Rotating the Box,53.2,0.7912891570186954,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
HARD,Optimal Account Balancing,53.2,0.4970603718445121,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Minimum Cost For Tickets,53.2,0.6740565179518804,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
HARD,Find Median from Data Stream,53.2,0.5297430019089757,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Word Ladder,53.2,0.41846750386296455,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Boundary of Binary Tree,53.2,0.46787119736548405,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Course Schedule II,53.2,0.5263020959907138,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Count Subarrays With Fixed Bounds,53.2,0.6772227032141168,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,House Robber,53.2,0.5198830720979272,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Top K Frequent Elements,53.2,0.6408009414896952,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Largest Rectangle in Histogram,46.9,0.46599430727940705,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Find All Possible Recipes from Given Supplies,46.9,0.5066344251899945,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph, Topological Sort"
MEDIUM,Open the Lock,46.9,0.6057781676988959,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
MEDIUM,Longest Consecutive Sequence,46.9,0.4719065352190347,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Valid Sudoku,46.9,0.6165261376179263,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Best Time to Buy and Sell Stock,46.9,0.5476982268271333,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Longest Path With Different Adjacent Characters,46.9,0.5396901389720061,https://leetcode.com/problems/longest-path-with-different-adjacent-characters,"Array, String, Tree, Depth-First Search, Graph, Topological Sort"
MEDIUM,Product of Array Except Self,46.9,0.6738352589943034,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Meeting Rooms II,46.9,0.519155338047899,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,The Skyline Problem,46.9,0.4363147821581098,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
MEDIUM,Find First and Last Position of Element in Sorted Array,46.9,0.4614968279616237,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Top K Frequent Words,46.9,0.5892372642837039,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
HARD,Trapping Rain Water,46.9,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Sliding Puzzle,46.9,0.7298615027887447,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
EASY,Two Sum,46.9,0.5507379542649148,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Permutations,38.2,0.8013988654300767,https://leetcode.com/problems/permutations,"Array, Backtracking"
HARD,Design a Text Editor,38.2,0.4735937768474984,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
MEDIUM,Next Permutation,38.2,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Most Profitable Path in a Tree,38.2,0.6807562886142984,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Tree, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Shuffle an Array,38.2,0.5883885960363152,https://leetcode.com/problems/shuffle-an-array,"Array, Math, Design, Randomized"
HARD,Amount of New Area Painted Each Day,38.2,0.5544797611265216,https://leetcode.com/problems/amount-of-new-area-painted-each-day,"Array, Segment Tree, Ordered Set"
HARD,LFU Cache,38.2,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Remove Comments,38.2,0.3922243896553111,https://leetcode.com/problems/remove-comments,"Array, String"
HARD,Minimize Malware Spread II,38.2,0.4445800949171195,https://leetcode.com/problems/minimize-malware-spread-ii,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,01 Matrix,38.2,0.5068419003485048,https://leetcode.com/problems/01-matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix"
HARD,Minimum Window Substring,38.2,0.4466497179189848,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Add Digits,38.2,0.6763972156860478,https://leetcode.com/problems/add-digits,"Math, Simulation, Number Theory"
MEDIUM,Water and Jug Problem,38.2,0.42504812276572873,https://leetcode.com/problems/water-and-jug-problem,"Math, Depth-First Search, Breadth-First Search"
MEDIUM,Rotting Oranges,38.2,0.5596880077934444,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Insert Interval,38.2,0.42944188605855393,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Number of Black Blocks,38.2,0.3742378936740321,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Frequency of the Most Frequent Element,38.2,0.43981592711009265,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
MEDIUM,Number of Matching Subsequences,38.2,0.5070473062224075,https://leetcode.com/problems/number-of-matching-subsequences,"Array, Hash Table, String, Binary Search, Dynamic Programming, Trie, Sorting"
MEDIUM,Find the Celebrity,38.2,0.4819098081002611,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
MEDIUM,Maximum Subarray,38.2,0.5173369031138303,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Find Peak Element,38.2,0.46335509327822505,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Find the Length of the Longest Common Prefix,38.2,0.5629064846365207,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,38.2,0.6233333333333333,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
MEDIUM,Is Graph Bipartite?,38.2,0.5719470516393277,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Koko Eating Bananas,38.2,0.48823835359135087,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Longest Increasing Path in a Matrix,38.2,0.5491066841610905,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
HARD,Divide Nodes Into the Maximum Number of Groups,38.2,0.6763394918199294,https://leetcode.com/problems/divide-nodes-into-the-maximum-number-of-groups,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Letter Combinations of a Phone Number,38.2,0.6308016559834609,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Candy Crush,38.2,0.7715995982857541,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
MEDIUM,Get Biggest Three Rhombus Sums in a Grid,38.2,0.4898109100802612,https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid,"Array, Math, Sorting, Heap (Priority Queue), Matrix, Prefix Sum"
MEDIUM,Minimum Path Sum,38.2,0.6584778180276342,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Subarray Sum Equals K,38.2,0.44931294221552387,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Remove Element,38.2,0.594380162102366,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Meeting Scheduler,38.2,0.5520802543236836,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
HARD,Binary Tree Maximum Path Sum,38.2,0.40904480368731844,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Search a 2D Matrix II,38.2,0.5444934538263199,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
MEDIUM,Brightest Position on Street,38.2,0.6099132787015673,https://leetcode.com/problems/brightest-position-on-street,"Array, Sorting, Prefix Sum, Ordered Set"
