Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Integer to Roman,100.0,0.6785878010990732,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Valid Sudoku,87.0,0.6165324397009114,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,First Missing Positive,70.8,0.406346269487847,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Count of Smaller Numbers After Self,70.8,0.42712887456962956,https://leetcode.com/problems/count-of-smaller-numbers-after-self,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
MEDIUM,Rotate Array,70.8,0.4246180740213054,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Path with Maximum Gold,70.8,0.6807628012468527,https://leetcode.com/problems/path-with-maximum-gold,"Array, Backtracking, Matrix"
MEDIUM,Number of Steps to Reduce a Number in Binary Representation to One,70.8,0.6143492670594051,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String, Bit Manipulation"
MEDIUM,Boundary of Binary Tree,70.8,0.4678705526949843,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Happy String,70.8,0.6547577692862678,https://leetcode.com/problems/longest-happy-string,"String, Greedy, Heap (Priority Queue)"
MEDIUM,Decode String,70.8,0.6068629765729199,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
