Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Edge Reversals So Every Node Is Reachable,100.0,0.5750719404164081,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph"
HARD,Making A Large Island,88.4,0.5425545322015887,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Number of Strings Which Can Be Rearranged to Contain Substring,82.9,0.5585424597933338,https://leetcode.com/problems/number-of-strings-which-can-be-rearranged-to-contain-substring,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Delete and Earn,82.9,0.5663150421083978,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
HARD,Subsequence With the Minimum Score,75.7,0.3244274809160305,https://leetcode.com/problems/subsequence-with-the-minimum-score,"Two Pointers, String, Binary Search"
HARD,Minimum Number of Taps to Open to Water a Garden,75.7,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
EASY,Two Sum,75.7,0.5507388674735357,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Painting the Walls,75.7,0.503165279937505,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
MEDIUM,Find the Longest Equal Subarray,65.7,0.3645028609589145,https://leetcode.com/problems/find-the-longest-equal-subarray,"Array, Hash Table, Binary Search, Sliding Window"
HARD,Minimum Degree of a Connected Trio in a Graph,65.7,0.43319019532490105,https://leetcode.com/problems/minimum-degree-of-a-connected-trio-in-a-graph,Graph
HARD,Number of Possible Sets of Closing Branches,65.7,0.5095238095238095,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path"
HARD,Count Complete Substrings,65.7,0.2764697876973326,https://leetcode.com/problems/count-complete-substrings,"Hash Table, String, Sliding Window"
MEDIUM,Longest Non-decreasing Subarray From Two Arrays,65.7,0.2989623190816836,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,"Array, Dynamic Programming"
MEDIUM,Jump Game,65.7,0.3911360991634624,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Search Suggestions System,65.7,0.6504522992244536,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
